Reference	ID	Tags	OrigWords	Occurrence	TWLink
13:12	rk52		וְ⁠הַ⁠תִּיר֥וֹשׁ	1	rc://*/tw/dict/bible/other/wine
13:12	qdxs		וְ⁠הַ⁠יִּצְהָ֖ר	1	rc://*/tw/dict/bible/other/oil
13:13	d8sy	name	וְ⁠צָד֣וֹק	1	rc://*/tw/dict/bible/names/zadok
13:13	hd58	keyterm	הַ⁠כֹּהֵ֜ן	1	rc://*/tw/dict/bible/kt/priest
13:13	k7sq	keyterm	הַ⁠סּוֹפֵ֗ר	1	rc://*/tw/dict/bible/kt/scribe
13:13	zdgv	name	הַ⁠לְוִיִּ֔ם	1	rc://*/tw/dict/bible/names/levite
13:13	k3br	keyterm	בֶּן	1	rc://*/tw/dict/bible/kt/son
13:13	gyua	keyterm	בֶּן	2	rc://*/tw/dict/bible/kt/son
13:13	rt8v	keyterm	נֶאֱמָנִים֙	1	rc://*/tw/dict/bible/kt/faithful
13:13	umqn	keyterm	לַ⁠אֲחֵי⁠הֶֽם	1	rc://*/tw/dict/bible/kt/brother
13:14	hte3	keyterm	אֱלֹהַ֖⁠י	1	rc://*/tw/dict/bible/kt/god
13:14	chvz		תֶּ֣מַח	1	rc://*/tw/dict/bible/other/blotout
13:14	qevt	keyterm	בְּ⁠בֵ֥ית	1	rc://*/tw/dict/bible/kt/temple
13:14	dyms	keyterm	אֱלֹהַ֖⁠י	2	rc://*/tw/dict/bible/kt/god
13:15	kts5	name	בִֽ⁠יהוּדָ֣ה	1	rc://*/tw/dict/bible/names/judea
13:15	q4f2		גִּתּ֣וֹת	1	rc://*/tw/dict/bible/other/winepress
13:15	h8d6	keyterm	בַּ⁠שַּׁבָּ֡ת	1	rc://*/tw/dict/bible/kt/sabbath
13:15	nmk2		הַ⁠חֲמֹרִ֟ים	1	rc://*/tw/dict/bible/other/donkey
13:15	th8a		יַ֜יִן	1	rc://*/tw/dict/bible/other/wine
13:15	vhuz		עֲנָבִ֤ים	1	rc://*/tw/dict/bible/other/grape
13:15	ngmg		וּ⁠תְאֵנִים֙	1	rc://*/tw/dict/bible/other/fig
13:15	zz4t		מַשָּׂ֔א	1	rc://*/tw/dict/bible/other/burden
13:15	qw8m	name	יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
13:15	n75z	keyterm	הַ⁠שַּׁבָּ֑ת	1	rc://*/tw/dict/bible/kt/sabbath
13:16	n89h	keyterm	בַּ⁠שַּׁבָּ֛ת	1	rc://*/tw/dict/bible/kt/sabbath
13:16	n86m	keyterm	לִ⁠בְנֵ֥י	1	rc://*/tw/dict/bible/kt/son
13:16	nt6s	name	יְהוּדָ֖ה	1	rc://*/tw/dict/bible/names/judah
13:16	bsdz	name	וּ⁠בִ⁠ירוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
13:17	zyeq		חֹרֵ֣י	1	rc://*/tw/dict/bible/other/noble
13:17	scz6	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
13:17	qsk9	keyterm	הָ⁠רָ֤ע	1	rc://*/tw/dict/bible/kt/evil
13:17	j2tg		וּֽ⁠מְחַלְּלִ֖ים	1	rc://*/tw/dict/bible/other/profane
13:17	sw3r	keyterm	הַ⁠שַּׁבָּֽת	1	rc://*/tw/dict/bible/kt/sabbath
13:18	ybaq		אֲבֹ֣תֵי⁠כֶ֔ם	1	rc://*/tw/dict/bible/other/father
13:18	rn9y	keyterm	אֱלֹהֵ֜י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
13:18	wdm6	keyterm	הָ⁠רָעָ֣ה	1	rc://*/tw/dict/bible/kt/evil
13:18	rdeh	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
13:18	wf3v		לְ⁠חַלֵּ֖ל	1	rc://*/tw/dict/bible/other/profane
13:18	qqbk	keyterm	הַ⁠שַּׁבָּֽת	1	rc://*/tw/dict/bible/kt/sabbath
13:19	sw7s		שַׁעֲרֵ֨י	1	rc://*/tw/dict/bible/other/gate
13:19	w443	name	יְרוּשָׁלִַ֜ם	1	rc://*/tw/dict/bible/names/jerusalem
13:19	guth	keyterm	הַ⁠שַּׁבָּ֗ת	1	rc://*/tw/dict/bible/kt/sabbath
13:19	fj5m	keyterm	הַ⁠שַּׁבָּ֑ת	1	rc://*/tw/dict/bible/kt/sabbath
13:19	qsav		וּ⁠מִ⁠נְּעָרַ֗⁠י	1	rc://*/tw/dict/bible/other/servant
