Reference	ID	Tags	OrigWords	Occurrence	TWLink
6:3	kuek	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
6:3	fgue	keyterm	וּ⁠בְנֵי	1	rc://*/tw/dict/bible/kt/son
6:4	j74w		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
6:4	tftm	keyterm	בְּ⁠יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
6:4	hnxa		וְ⁠שֶׂ֥ה	1	rc://*/tw/dict/bible/other/sheep
6:4	j2jf		וַ⁠חֲמֽוֹר	1	rc://*/tw/dict/bible/other/donkey
6:6	kvg5	keyterm	יִשְׂרָאֵ֛ל	1	rc://*/tw/dict/bible/kt/israel
6:6	cpvw		וַ⁠יִּזְעֲק֥וּ	1	rc://*/tw/dict/bible/other/cry
6:6	ksj8	keyterm	בְנֵֽי	1	rc://*/tw/dict/bible/kt/son
6:6	txu3	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
6:6	u74w	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
6:7	ebsh	keyterm	בְנֵֽי	1	rc://*/tw/dict/bible/kt/son
6:7	hcru	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
6:7	uajc	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
6:8	t8p2	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
6:8	cqxm	keyterm	נָבִ֖יא	1	rc://*/tw/dict/bible/kt/prophet
6:8	my3c	keyterm	בְּנֵ֣י	1	rc://*/tw/dict/bible/kt/son
6:8	t55p	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
6:8	btj4	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
6:8	y9ck	keyterm	אֱלֹהֵ֣י	1	rc://*/tw/dict/bible/kt/god
6:8	xygq	keyterm	יִשְׂרָאֵ֗ל	1	rc://*/tw/dict/bible/kt/israel
6:8	stpg	keyterm	אָנֹכִ֞י	1	rc://*/tw/dict/bible/kt/pray
6:8	zmhw	name	מִ⁠מִּצְרַ֔יִם	1	rc://*/tw/dict/bible/names/egypt
6:8	h2rz	keyterm	וָ⁠אֹצִ֥יא	1	rc://*/tw/dict/bible/kt/command
6:8	xn9r		מִ⁠בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
6:8	sms5		עֲבָדִֽים	1	rc://*/tw/dict/bible/other/servant
6:9	ta57		וָ⁠אַצִּ֤ל	1	rc://*/tw/dict/bible/other/deliverer
6:9	yx4d		מִ⁠יַּ֣ד	1	rc://*/tw/dict/bible/other/hand
6:9	ndgn		אַרְצָֽ⁠ם	1	rc://*/tw/dict/bible/other/earth
6:10	bzg8	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
6:10	m3gj	keyterm	אֱלֹהֵי⁠כֶ֔ם	1	rc://*/tw/dict/bible/kt/god
6:10	e2he	keyterm	תִֽירְאוּ֙	1	rc://*/tw/dict/bible/kt/fear
6:10	dd6e	keyterm	אֱלֹהֵ֣י	1	rc://*/tw/dict/bible/kt/god
6:10	tmzp	name	הָ⁠אֱמֹרִ֔י	1	rc://*/tw/dict/bible/names/amorite
6:10	s3xf		בְּ⁠קוֹלִֽ⁠י	1	rc://*/tw/dict/bible/other/voice
6:11	s4dm		מַלְאַ֣ךְ	1	rc://*/tw/dict/bible/other/messenger
